"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","2.44","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","40","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","97.56","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","19","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","4.63","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","391","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","95.37","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","counts","9","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","percentage","2.2","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","counts","401","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","percentage","97.8","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","counts","2","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","percentage","1.64","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","counts","120","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","percentage","98.36","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","68","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","16.59","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","342","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","83.41","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","13","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","3.17","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","counts","397","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_10_Are_food_packages_intact_and_free_from_signs_of_decay_or_damage","percentage","96.83","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","6","Quality checks","Overall","RQ3 select yes","count and percentage"
